taxpayer_id,name,income,declared_tax,paid_tax,deductions,filing_status,year
1,Kibet Gitau,1378299,140793,140793,188993,Single,2022
2,Kamau Sang,3029444,788996,788996,660186,Single,2022
3,Odhiambo Sang,3171351,481358,481358,300315,Married,2024
4,Muthoni Ondiek,277924,45092,45092,22024,Married,2022
5,Wambui Kuria,2857450,1369868,1369868,577007,Single,2022
6,Akinyi Sang,1628563,467683,467683,-744240,Married,2024
7,Mutua Ochieng,3426874,967167,967167,800191,Head of Household,2022
8,Maina Mutai,364152,56476,56476,783013,Single,2024
9,Odinga Kiprono,3270916,436372,436372,107049,Head of Household,2023
10,Jelimo Kenyatta,3529081,969378,969378,3931,Head of Household,2024
11,Nyambura Rudisha,4180038,981362,981362,186570,Head of Household,2023
12,Njeri Ochieng,861053,236183,236183,128009,Single,2022
13,Njeri Ondiek,4191141,461615,461615,929888,Married,2022
14,Kamau Kiprono,622386,125651,125651,74299,Married,2023
15,Nyambura Kibaki,2027846,284752,284752,220725,Single,2022
16,Njoroge Kenyatta,35758594,8133511,0,10078224,Married,2023
17,Omondi Nyong'o,1427463,1002873,1002873,58911,Single,2022
18,Keter Nyong'o,2384408,313817,313817,524568,Head of Household,2022
19,Chebet Rotich,1959063,473238,473238,382269,Single,2023
20,Otieno Owino,2435231,717621,717621,367932,Single,2023
21,Mutua Ondiek,2832124,291483,291483,-534529,Single,2024
22,Jelimo Ondiek,28837350,3914078,3914078,758266,Head of Household,2022
23,Omondi Kenyatta,1529885,875045,875045,17441,Head of Household,2023
24,Kiplangat Muchiri,540642,101975,101975,113042,Single,2023
25,Kariuki Kamau,4912058,1003008,1003008,161883,Single,2024
26,Chebet Wanjala,9007514,5598675,5598675,1309718,Head of Household,2023
27,Wanjiku Rudisha,4222732,443515,443515,-208717,Single,2023
28,Rotich Kemboi,3717028,826477,826477,246616,Married,2023
29,Wambui Lagat,370598,60122,60122,72835,Married,2023
30,Nyambura Rudisha,2326675,673222,673222,202595,Married,2022
31,Kosgei Kipkemoi,1913152,1396991,1396991,144023,Head of Household,2023
32,Chepkoech Njuguna,1097071,144220,144220,324601,Head of Household,2022
33,Mutua Nyong'o,17490187,4161322,0,3749141,Head of Household,2022
34,Kariuki Kemboi,1169876,160745,160745,65032,Married,2023
35,Chebet Ochieng,3310448,340933,340933,959496,Head of Household,2023
36,Njoroge Kimutai,3652717,791313,791313,649229,Head of Household,2022
37,Njoroge Rotich,1551476,357920,357920,159322,Head of Household,2022
38,Ruto Njuguna,41652156,6629661,0,10638346,Married,2022
39,Njoroge Kamau,2656868,337916,337916,548065,Head of Household,2024
40,Kimani Kamau,2361061,357757,357757,656436,Single,2024
41,Odinga Kiprono,1177414,159216,159216,100127,Married,2023
42,Cherono Rotich,4662613,1300233,1300233,58117,Single,2024
43,Maina Kirui,2857421,529785,529785,754593,Married,2022
44,Kiplangat Kibaki,1201687,218746,218746,273601,Married,2024
45,Mutua Karanja,2761101,309611,309611,707797,Married,2024
46,Ruto Kirui,4379255,649678,649678,4942234,Single,2024
47,Keter Moi,4486408,1125440,1125440,614886,Head of Household,2024
48,Ruto Kipchoge,4559500,1039454,1039454,351912,Single,2024
49,Otieno Rotich,2685101,704960,704960,302205,Head of Household,2024
50,Gathoni Ngugi,3317000,591961,591961,822125,Single,2024
51,Muthoni Kenyatta,2247882,507855,507855,159250,Married,2023
52,Ruto Kiprono,309593,50269,50269,84089,Married,2024
53,Ruto Korir,3738688,490654,490654,558912,Single,2023
54,Kimani Muchiri,4634835,650623,650623,5513891,Married,2022
55,Kiplangat Kibaki,2667918,379581,379581,45248,Married,2023
56,Odhiambo Kenyatta,3440070,878147,878147,977162,Head of Household,2022
57,Wangari Kuria,2585620,493150,493150,290383,Single,2022
58,Njeri Rotich,1536109,419479,419479,363103,Married,2022
59,Jelimo Kamau,4345275,649106,649106,881106,Married,2022
60,Keter Gitau,22471089,6449550,0,57982,Head of Household,2023
61,Muthoni Mwangi,4629165,822812,822812,186069,Single,2024
62,Otieno Owino,563401,165645,165645,135826,Single,2023
63,Ruto Kibaki,3919949,1081818,1081818,-588252,Head of Household,2022
64,Keter Bett,1082365,173493,173493,37042,Single,2023
65,Cheruiyot Sang,1961483,449104,449104,579330,Single,2022
66,Kiprop Karanja,2863087,585598,585598,363925,Married,2023
67,Kosgei Kiprotich,1857009,511374,511374,459822,Married,2023
68,Otieno Kamau,4784513,1033739,1033739,293079,Single,2024
69,Wangari Ouma,4226485,543989,543989,864983,Single,2022
70,Cherono Wanjala,4778934,677128,677128,-706929,Single,2022
71,Kipchoge Kamau,4320623,488313,488313,763878,Single,2023
72,Kibet Muchiri,1582212,1167396,1167396,378088,Head of Household,2022
73,Keter Kemboi,19079155,2040625,2040625,188519,Married,2023
74,Mutua Ngugi,2933129,310739,310739,19005,Single,2022
75,Kimani Moi,548690,83062,83062,56282,Head of Household,2023
76,Kimani Ouma,3624279,504592,504592,748374,Married,2022
77,Odinga Kuria,41906417,12104516,0,2781362,Married,2024
78,Omondi Lagat,954104,152956,152956,177690,Head of Household,2024
79,Ruto Kiprotich,4768830,853586,853586,422738,Head of Household,2024
80,Jelimo Owino,3967746,2356844,2356844,209080,Head of Household,2022
81,Muthoni Muchiri,46872813,5210761,0,12668403,Head of Household,2024
82,Kiprop Mutai,2532912,509374,509374,110473,Single,2022
83,Kiprop Kipchoge,2126157,276530,276530,622969,Single,2022
84,Omondi Kirui,1941852,251575,251575,321986,Single,2022
85,Keter Kimutai,918731,225917,225917,209536,Married,2022
86,Ruto Korir,4831675,1275771,1275771,800315,Single,2022
87,Chepkoech Karanja,2483444,424700,424700,402664,Head of Household,2022
88,Kamau Bett,2405629,624697,624697,267466,Single,2024
89,Akinyi Kenyatta,325351,76396,76396,81852,Single,2024
90,Kosgei Nyong'o,4090976,1199077,1199077,557385,Married,2022
91,Auma Kimutai,2009535,205849,205849,458592,Single,2023
92,Wambui Ouma,428970,99903,99903,79483,Head of Household,2022
93,Chebet Kipchoge,2944516,495412,495412,582633,Single,2023
94,Kamau Lagat,2050729,566850,566850,-481247,Single,2022
95,Chepkoech Njuguna,4573307,1044371,1044371,779231,Head of Household,2024
96,Kibet Ngugi,4528598,596049,596049,800707,Head of Household,2023
97,Wangari Owino,2275250,330470,330470,396983,Single,2024
98,Odinga Kamau,3798910,1069957,1069957,-358960,Married,2024
99,Kamau Nyong'o,3851750,942740,942740,888149,Head of Household,2024
100,Wambui Kibaki,4997558,674895,674895,592633,Head of Household,2024
101,Kosgei Ngugi,1340240,293333,293333,5015,Head of Household,2024
102,Maina Sang,2781932,645671,645671,210240,Married,2022
103,Kamau Kipkemoi,2684821,719795,719795,632478,Single,2023
104,Odinga Sang,3921925,434239,434239,942699,Married,2023
105,Kipchoge Rotich,4882002,653874,653874,892256,Head of Household,2024
106,Ruto Ngugi,3798914,2946610,2946610,1094724,Head of Household,2023
107,Auma Kibaki,25143568,4830710,0,3240533,Single,2024
108,Odhiambo Moi,2324435,610115,610115,361011,Single,2023
109,Kamau Rudisha,2011282,326191,326191,300364,Married,2023
110,Akinyi Bett,365530,72221,72221,95244,Married,2023
111,Keter Kirui,2456424,497760,497760,-461816,Single,2022
112,Ruto Kipkemoi,885240,241727,241727,-332384,Head of Household,2023
113,Auma Bett,29411166,6531821,0,5900538,Single,2023
114,Keter Sang,4694766,610110,610110,413493,Single,2023
115,Ruto Lagat,2163305,253930,253930,261255,Head of Household,2023
116,Kiprop Nyong'o,16628348,2802297,0,2935763,Head of Household,2023
117,Chepkoech Kuria,13758070,2586911,0,1041371,Married,2023
118,Kamau Rotich,2243853,633003,633003,161532,Single,2024
119,Chebet Kipchoge,3017956,843983,843983,807961,Single,2022
120,Kamau Bett,2624540,488193,488193,3368265,Single,2022
121,Kimani Kemboi,10422508,2966625,0,1615061,Single,2024
122,Gathoni Kipkemoi,2126814,1679349,1679349,177834,Married,2023
123,Kosgei Gitau,2140772,369022,369022,225554,Head of Household,2023
124,Omondi Ouma,889604,88983,88983,9852,Single,2022
125,Kiplangat Ondiek,2027530,442331,442331,112930,Head of Household,2022
126,Kamau Rotich,1293567,356060,356060,289073,Head of Household,2023
127,Kibet Kiprono,1759164,343960,343960,104044,Married,2022
128,Auma Kirui,3557168,429615,429615,144107,Head of Household,2023
129,Kariuki Kemboi,2328145,680966,680966,579456,Married,2022
130,Jelimo Kimutai,2713669,492093,492093,364041,Single,2024
131,Nyambura Sang,1663369,235751,235751,130422,Head of Household,2023
132,Muthoni Ochieng,3244178,919539,919539,374070,Single,2022
133,Kimani Kibaki,3817418,587825,587825,972269,Single,2023
134,Odinga Ngugi,3916998,1027703,1027703,913966,Married,2023
135,Keter Sigei,3660983,1719303,1719303,956543,Married,2023
136,Mutua Rudisha,23267861,5188206,5188206,724193,Married,2022
137,Gathoni Kamau,753135,187163,187163,166856,Head of Household,2022
138,Chepkoech Karanja,3357612,803893,803893,155293,Head of Household,2022
139,Odhiambo Sang,3271039,544737,544737,121057,Married,2024
140,Kibet Kibaki,3041723,911002,911002,776281,Married,2023
141,Muthoni Sigei,1430041,219900,219900,202812,Head of Household,2024
142,Njeri Kuria,2521324,574283,574283,43033,Single,2024
143,Ruto Wanjala,1287201,192140,192140,-534265,Single,2024
144,Kiplangat Kemboi,10191440,2693073,0,1746489,Head of Household,2024
145,Kimani Muchiri,2626425,625827,625827,349671,Single,2023
146,Wanjiku Ochieng,474997,139143,139143,14221,Single,2022
147,Kimani Ngugi,3098260,848894,848894,384516,Head of Household,2023
148,Nyambura Korir,1060459,190601,190601,273666,Head of Household,2023
149,Wangari Karanja,1452968,202147,202147,410004,Head of Household,2023
150,Nyambura Wanjala,1543530,200131,200131,338016,Head of Household,2023
151,Ruto Kibaki,1850219,198924,198924,222605,Married,2022
152,Muthoni Owino,4914828,1128316,1128316,19614,Married,2022
153,Chepkoech Owino,11792399,3351417,0,1945461,Married,2024
154,Keter Kipkemoi,1403315,393399,393399,284680,Single,2022
155,Kosgei Ouma,3690603,1772656,1772656,551366,Married,2024
156,Kiprop Owino,2824127,597373,597373,724013,Head of Household,2022
157,Rotich Karanja,1374166,695795,695795,99368,Single,2024
158,Wangari Njuguna,3220010,852974,852974,494453,Single,2023
159,Kariuki Nyong'o,4841676,1269368,1269368,663443,Single,2024
160,Kamau Kiprotich,43979244,5524974,5524974,681202,Married,2023
161,Mutua Owino,2753944,765036,765036,398006,Married,2024
162,Chepkoech Kirui,3273659,441934,441934,587913,Single,2022
163,Rotich Kemboi,4426121,1167176,1167176,154060,Married,2022
164,Nyambura Mutai,46183863,5453039,0,4908769,Single,2024
165,Nyambura Kimutai,4019781,734576,734576,682745,Head of Household,2022
166,Wambui Mutai,1587860,161854,161854,99521,Single,2023
167,Kariuki Njuguna,748069,172652,172652,65898,Head of Household,2022
168,Njoroge Ouma,4531190,1275542,1275542,64445,Married,2024
169,Kiplangat Kiprotich,3108851,793904,793904,41366,Head of Household,2022
170,Cheruiyot Ngugi,3711388,588507,588507,801452,Married,2022
171,Kamau Sang,3265382,598804,598804,354528,Married,2023
172,Rotich Kamau,659636,83362,83362,1126,Married,2023
173,Kariuki Rudisha,4438337,669344,669344,78345,Married,2023
174,Gathoni Kirui,4004658,914183,914183,647678,Head of Household,2023
175,Wanjiku Mutai,13660089,1443040,1443040,98940,Head of Household,2022
176,Rotich Kenyatta,2643478,784058,784058,219580,Head of Household,2024
177,Kipchoge Kirui,1733308,261558,261558,2103946,Single,2023
178,Otieno Korir,2587614,669672,669672,403953,Married,2024
179,Odhiambo Karanja,3177877,797991,797991,-771841,Single,2023
180,Kibet Sigei,4937403,589969,589969,-528558,Married,2022
181,Kiprop Kirui,1984227,352467,352467,28313,Head of Household,2024
182,Njoroge Karanja,3419252,382491,382491,615700,Single,2024
183,Mutua Mwangi,1227627,230076,230076,-182016,Married,2022
184,Jelimo Moi,1602533,453637,453637,59104,Single,2024
185,Odhiambo Rotich,3992527,2232805,2232805,191115,Head of Household,2023
186,Kiprop Kamau,471942,86887,86887,1424469,Married,2022
187,Kimani Kuria,3978349,791276,791276,467552,Single,2023
188,Kiplangat Sang,3379972,509299,509299,493641,Married,2023
189,Jelimo Ngugi,2516886,446100,446100,593734,Married,2022
190,Kiplangat Kipchoge,1239648,245368,245368,102595,Head of Household,2022
191,Kariuki Kenyatta,4501682,789136,789136,766357,Married,2023
192,Wangari Kibaki,2888606,299511,299511,256668,Head of Household,2024
193,Chebet Kibaki,2325467,422066,422066,567388,Head of Household,2022
194,Wangari Kibaki,3835470,2818204,2818204,1088210,Head of Household,2022
195,Kibet Wanjala,995913,260850,260850,25574,Married,2024
196,Wambui Kirui,3676723,912253,912253,588009,Head of Household,2023
197,Chebet Kemboi,728196,182204,182204,17518,Head of Household,2024
198,Mutua Owino,2583065,1853916,1853916,251134,Single,2024
199,Njoroge Kipchoge,3806882,748803,748803,869161,Head of Household,2022
200,Jelimo Njuguna,40490525,9758745,9758745,12789,Head of Household,2022
201,Omondi Sang,672773,106566,106566,81065,Married,2024
202,Odhiambo Kirui,36118799,4532067,0,478232,Married,2024
203,Akinyi Kipkemoi,13405710,3683347,0,228227,Married,2024
204,Otieno Ngugi,1952827,1519100,1519100,476794,Single,2022
205,Maina Kenyatta,3269857,910088,910088,6744,Single,2024
206,Gathoni Moi,839919,169735,169735,190091,Single,2023
207,Kamau Sang,21899904,3970412,0,1700368,Head of Household,2024
208,Cheruiyot Njuguna,4756908,633677,633677,231607,Single,2022
209,Njoroge Ouma,2291284,674420,674420,527522,Married,2022
210,Chebet Muchiri,1183201,310237,310237,318730,Married,2022
211,Wangari Mutai,340917,39565,39565,23261,Head of Household,2024
212,Njeri Sang,31648572,7344779,0,8996977,Single,2022
213,Muthoni Moi,4391073,736006,736006,725376,Married,2024
214,Chepkoech Rudisha,3440031,957328,957328,378078,Head of Household,2022
215,Kiplangat Lagat,4782096,630663,630663,960215,Single,2023
216,Otieno Kuria,410946,212600,212600,43025,Married,2024
217,Keter Kirui,3719509,727755,727755,257845,Married,2023
218,Keter Ondiek,1420684,391773,391773,395782,Married,2022
